Artist	Title	Price	Slug
Robert C. Kluth (American, 1854 - 1921)	Moonlight		robert_c_kluth_moonlight-html
Robert Decker (American 1847 - 1921)	A Fall Landscape	$3,200	robert_decker_fall-html
Virginia Granbery (American 1831 - 1921)	A Distant Church Steeple		virginia_granbery_steeple-html
Carl Philipp Weber (American 1849 - 1922)	Sunset at the Lake		carl_philipp_weber_sunset-html
Carl Philipp Weber (American 1849 - 1922)	Sheep on a Rocky Coastal Path	$4,500	carl_phillip_weber_sheep-html
Ella Ferris Pell (American, 1846 - 1922)	Heading Home		ella_ferris_pell_home-html
William de La Montagne Cary (American, 1840 - 1922)	Barber Shop Felines, 1900	$9,000	william_de_la_montagne_cary_felines-html
Charles Ethan Porter (American, 1847 - 1923)	Overturned Basket of Grapes with Peaches		charles_ethan_porter_basket-html
Charles Ethan Porter (American, 1847 - 1923)	Bouquet of Roses		charles_ethan_porter_boquet-html
Charles William MacCord (American 1852 - 1923)	Water’s Edge		charles_william_maccord_waters_edge-html
Edward Hill (American 1843 - 1923)	Sheep along the River		edward_hill_sheep-html
William Preston Phelps (American 1843 - 1923)	Winter Twilight		william_preston_phelps_twilight-html
William Preston Phelps (American 1843 - 1923)	Winter Stream	$4,000	william_preston_phelps_winter-html
George Goodwin Kilburne (British, 1839 - 1924)	Offering Sandwiches to Travelers	$9,800	george_goodwin_kilburne_offering-html
George Goodwin Kilburne (British, 1839 - 1924)	The Trysting Place		george_goodwin_kilburne_trysting-html
C. Myron Clark (American, 1858 - 1925)	USS Constitution		c_myron_clark_constitution-html
C. Myron Clark (American, 1858 - 1925)	Misty Sails	$1,800	c_myron_clark_sails-html
C. Myron Clark (American, 1858 - 1925)	USS Constitution	$6,500	myron_clark_constitution-html
William Anderson Coffin (American, 1855 - 1925)	Moonrise in May	$7,500	william_anderson_coffin_moonrise-html
Christopher High Shearer (American 1846 - 1926)	Old Wooden Bridge across a Rocky Creek		christopher_high_shearer_bridge-html
Christopher High Shearer (American 1846 - 1926)	Deer at Water's Edge		christopher_high_shearer_deer-html
Thomas Henry Hope (English - American, 1832 - 1926)	Yesterday’s News		thomas_henry_hope_news-html
Frank Dvorak (Czech Republic - United States, 1862 - 1927)	Three Girls with Fans		frank_dvorak_girls-html
Hugh Bolton Jones (American 1848 - 1927)	Egremont, Massachussetts		hugh_bolton_jones_ergomont-html
Marianne Preindlsberger Stokes (Austrian-English 1855 - 1927)	Cows at River’s Edge	$1,600	marianne_preindlsberger_stokes_cows-html
William Sidney Cooper (British, 1854 - 1927)	Sheep by a Boat and Stream with Ducks		william_sidney_cooper_boat-html
William Sidney Cooper (British, 1854 - 1927)	Sheep on the Coast	$2,500	william_sidney_cooper_coast-html
William Sidney Cooper (British, 1854 - 1927)	Sheep Grazing, 1891		william_sidney_cooper_grazing_sheep-html
William Sidney Cooper (British, 1854 - 1927)	Landscape with Sheep	$5,500	william_sidney_cooper_landscape-html
William Sidney Cooper (British, 1854 - 1927)	Sheep in Landscape		william_sidney_cooper_sheep-html
William Sidney Cooper (British, 1854 - 1927)	Sheep		william_sidney_cooper_sheep_in_field-html
William Sidney Cooper (British, 1854 - 1927)	Sheep		william_sidney_cooper_sheep_on_bridge-html
Alfred De Breanski, Sr. (British 1852 - 1928)	Swans on the Thames	$7,600	alfred_de_breanski_swans-html
Hamilton Hamilton (American 1847 - 1928)	Girl in Blossom	$2,250	hamilton_hamilton_girl-html
Charles Kaelin (American 1858 - 1929)	Rockport Harbor		charles_kaelin_rockport-html
George Thompson Hobbs (American 1849 - 1929)	Whitewater Stream		george_hobbs_stream-html
Charles H Clair (French 1860 - 1930)	Sheep at a Creek	$3,900	charles_h_clair_creek-html
Charles H Clair (French 1860 - 1930)	Sheep in the Barn		charles_h_clair_sheep-html
George W. King (American 1836 - 1930)	Lakehouse Charm		george_w_king_lakehouse-html
Jonas Joseph LaValley (American, 1858 - 1930)	Roses in a Glass Vase, 1872	$6,000	jonas_joseph_lavalley_roses-html
Lucien Whiting Powell (American, 1846 - 1930)	Interior Forest Landscape		lucien_whiting_powell_forest-html
Lucien Whiting Powell (American, 1846 - 1930)	Sunlit Creek through the Woods		lucien_whiting_powell_woods-html
William McKendree Snyder (American 1848 - 1930)	Indiana Beech Woods		william_mcKendree_snyder_beech-html
Charles Waltensperger (American 1871 - 1931)	Girl with Cats	$6,500	charles_waltensperger_girl-html
Edward S. "Tige" Reynolds (American, 1877 - 1931)	Uncle Sam	$2,800	edward_s_reynolds_uncle_sam-html
John Donaghy (American, 1838 - 1931)	Still life with Fish, Cabbage and Pasta		john_donaghy_fish-html
John Donaghy (American, 1838 - 1931)	Outing by the River		john_donaghy_river-html
John Donaghy (American, 1838 - 1931)	Skipping Rope		john_donaghy_skipping-html
John Donaghy (American, 1838 - 1931)	Boy Swinging, 1877		john_donaghy_swinging-html
John Donaghy (American, 1838 - 1931)	The Woodsman	$4,200	john_donaghy_woodsman-html
Louis-Robert de Cuvillon (French, 1848 - 1931)	Reclining Woman with Bouquet		louis_robert_de_cuvillon_boquet-html
Louis-Robert de Cuvillon (French, 1848 - 1931)	Catching Butterflies	$2,200	louis_robert_de_cuvillon_butterflies-html
Louis-Robert de Cuvillon (French, 1848 - 1931)	Girl Holding Dove		louis_robert_de_cuvillon_dove-html
Paul Gorka (American, born 1931)	Contemplation	$3,500	paul_gorka_contemplation-html
Theodore Gegoux (American, 1850 - 1931)	The MacIntyre Range of the Adirondacks		theodore_gegoux_adirondacks-html
Theodore Gegoux (American, 1850 - 1931)	The Fishing Lesson		theodore_gegoux_fishing-html
Essie Leone Seavey Lucas (American, 1872 - 1932)	Portrait of a Racehorse		essie_leone_seavey_lucas_racehorse-html
Henry Paul Perrault (French, 1867 - 1932)	Hurry Home	$7,900	henry_paul_perrault_home-html
Hermann Ottomar Herzog (German-American 1832 - 1932)	Shepherd Under a Dark Sky	$8,900	hermann_ottomar_herzog_shepherd-html
Robert Ward Van Boskerck (American 1855 - 1932)	Rocky New England Stream	$3,200	robert_ward_van_boskerck_stream-html
Walter Launt Palmer (American 1854 - 1932)	Sunlight on a Winter Stream		walter_launt_palmer_stream-html
Walter Launt Palmer (American 1854 - 1932)	Winter Scene		walter_launt_palmer_winter-html
Charles Harold Davis (American 1856 - 1933)	Autumn Road	$12,500	charles_harold_davis_autumn-html
Guy Coheleach (American born 1933)	Brown Bear Catching Salmon	$3,900	guy_coheleach_bear-html
Louis Comfort Tiffany (American 1848 - 1933)	Calla Lilies		louis_comfort_tiffany_lilies-html
Louis Heitmuller (American, 1863 - 1933)	Cows in Landscape near Pittsburgh, PA		louis_heitmuller_cows-html
Louis Heitmuller (American, 1863 - 1933)	Fen Felmoor	$1,800	louis_heitmuller_felsmoor-html
Louis Heitmuller (American, 1863 - 1933)	Figure in the Woods	$1,800	louis_heitmuller_figure_in_the_woods-html
Louis Heitmuller (American, 1863 - 1933)	Guyasuta Run, Aspinwall, PA	$2,500	louis_heitmuller_guyasuta-html
Louis Heitmuller (American, 1863 - 1933)	Hillside Meadow	$1,800	louis_heitmuller_meadow-html
Louis Heitmuller (American, 1863 - 1933)	Mill Pond	$1,800	louis_heitmuller_mill_pond-html
Louis Heitmuller (American, 1863 - 1933)	Early Morning		louis_heitmuller_morning-html
Louis Heitmuller (American, 1863 - 1933)	Mountain Path	$1,800	louis_heitmuller_mountain_path-html
Louis Heitmuller (American, 1863 - 1933)	Through the Oaks	$1,800	louis_heitmuller_oaks-html
Louis Heitmuller (American, 1863 - 1933)	Winding Path	$1,800	louis_heitmuller_path-html
Louis Heitmuller (American, 1863 - 1933)	Thomas River Schoolhouse	$1,800	louis_heitmuller_schoolhouse-html
Louis Heitmuller (American, 1863 - 1933)	Sheep in Landscape near Sixmile Island, Sharpsburg, PA	$1,800	louis_heitmuller_sheep-html
Louis Heitmuller (American, 1863 - 1933)	Cast Sunbeams	$1,800	louis_heitmuller_sunbeams-html
Louis Heitmuller (American, 1863 - 1933)	Morning Traveler	$1,800	louis_heitmuller_traveler-html
Louis Heitmuller (American, 1863 - 1933)	Country Road	$1,800	louis_j_heitmuller_country-html
William Henry Ahrendt (American, born 1933)	The Grand Canyon (after Thomas Moran)	$14,000	william_henry_ahrendt_canyon-html
A.L. Brackett (American, 1855 - 1934)	Still Life with Woodcock	$6,000	arthur_loring_brackett_woodcock-html
Franklin DeHaven (American 1856 - 1934)	Aurora Borealis		franklin_dehaven_borealis-html
Alfred Bryan Wall (American, 1861 - 1935)	Lady in Schenley Park, Pittsburgh, PA		alfred_bryan_wall_lady-html
Alfred Bryan Wall (American, 1861 - 1935)	Washing Day	$6,900	alfred_bryan_wall_washing-html
Allen Dean Cochran (American 1888 - 1935)	Winter Landscape	$6,500	allen_dean_chochran_winter-html
Andrew Curtain Davis (American 1853 - 1935)	Bedford County Cows		andrew_curtain_davis_bedford-html
Andrew Curtain Davis (American 1853 - 1935)	The Haystacks		andrew_curtain_davis_haystacks-html
Edward Charles Volkert (American 1871 - 1935)	COWS IN A PASTURE		edward_charles_volkert_cows-html
Edward Charles Volkert (American 1871 - 1935)	COWS BY A STONE WALL		edward_charles_volkert_cows_by_wall-html
Edward Charles Volkert (American 1871 - 1935)	Cows in Pasture	$12,000	edward_charles_volkert_cows_in_pasture-html
Edward Charles Volkert (American 1871 - 1935)	GRAZING COWS		edward_charles_volkert_grazing_cows-html
Franz Horst Strahalm (Austrian-American 1879 - 1935)	Early Farm with Stream	$2,750	franz_horst_strahalm_stream-html
Levi Wells Prentice (American 1851 - 1935)	Cherry Blossoms along the Tidal basin		levi_wells_prentice_blossoms-html
Levi Wells Prentice (American 1851 - 1935)	Near Lake Placid, Adirondack Mountains, NY	$30,000	levi_wells_prentice_mountains-html
Robert Atkinson Fox (American, 1860 - 1935)	Bubbles, 1900		robert_atkinson_fox_bubbles-html
Robert Atkinson Fox (American, 1860 - 1935)	New York Harbor	$6,200	robert_atkinson_fox_harbor-html
Robert Atkinson Fox (American, 1860 - 1935)	Sunset in the High Mountains	$3,700	robert_atkinson_fox_sunset-html
Robert Atkinson Fox (American, 1860 - 1935)	Young Girl with Horse		robert_atkinson_horse-html
Carl Von Marr (American-German 1858 - 1936)	Homeward		carl_von_marr_homeward-html
Frederick Mortimer Lamb (American 1861 - 1936)	Boy Riding Draft Horses	$3,900	frederick_mortimer_lamb_boy-html
William Hermann Schmedtgen (American, 1862 - 1936)	Bass		william_herman_schmedtgen_bass-html
William Samuel Horton (American, 1865 - 1936)	Teddy Roosevelt, c. 1909		william_samuel_horton_roosevelt-html
Warren Sheppard (American, 1858 - 1937)	A Breezy Day		warren_sheppard_breezy_day-html
Warren Sheppard (American, 1858 - 1937)	Brooklyn Y.C. Ocean Race for Lipton Cup	$15,000	warren_sheppard_lipton-html
Warren Sheppard (American, 1858 - 1937)	Port and Starboard Moonlight		warren_sheppard_moonlight-html
Warren Sheppard (American, 1858 - 1937)	Sailboats at Sunset		warren_sheppard_sailboats-html
Warren Sheppard (American, 1858 - 1937)	Schooner at Daybreak		warren_sheppard_schooner-html
Warren Sheppard (American, 1858 - 1937)	Sunrise on the Waves	$6,200	warren_sheppard_sunrise-html
Allen Blagden (American, b. 1938)	Stormy Migration	$7,500	allen_blagden_migration-html
Allen Blagden (American, b. 1938)	Stump in Snow	$4,250	allen_blagden_snow-html
Frank Christian Muller (Danish American 1860 - 1938)	Battle of Lake Erie		frank_christian_muller_erie-html
Frederick Mulhaupt (American 1871 - 1938)	Picking Flowers	$31,500	frederick_mulhaupt_flowers-html
Jessica Tcherepnine (British-American 1938-2018)	Pink Roses	$2,200	jessica_tcherepnine_roses-html
Olive Turney (American 1847 - 1939)	Grandma Lehman Milking the Cow		olive_turney_cow-html
Olive Turney (American 1847 - 1939)	Cows in Creek at Lehman Farm, Scalp Level, PA	$2,100	olive_turney_creek-html
Olive Turney (American 1847 - 1939)	Lehman Farm, 1911		olive_turney_farm-html
Olive Turney (American 1847 - 1939)	Adam Lehman on the Homestead near Paint Creek, Somerset County, PA		olive_turney_lehman-html
Olive Turney (American 1847 - 1939)	Farm Joining the Lehman’s Farm, Scalp Level, PA		olive_turney_lehman_farm-html
Olive Turney (American 1847 - 1939)	Rhododendrons in a Crock		olive_turney_rhododendrons-html
Olive Turney (American 1847 - 1939)	Mrs. Henry Lehman Boiling Soap		olive_turney_soap-html
Theodore Wores (American 1859 - 1939)	Woman in a Japanese Garden	$5,000	theodore_wores_garden-html
Frederick Judd Waugh (1861 - 1940)	The Boating Outing	$4,800	frederick_judd_waugh_boating-html
Harry Watrous (American 1857 - 1940)	Pitcher, Vase and Seashells		harry_watrous_vase-html
Martin Leisser (American, 1846 - 1940)	Pier with Sailboats at Sunrise	$1,800	martin_leisser_boat-html
Martin Leisser (American, 1846 - 1940)	Man with Beard	$2,000	martin_leisser_man-html
Maurice Leloir (French, 1853 - 1940)	Shopping for Eggs	$3,800	maurice_leloir_shopping-html
Leon Moran (American, 1864 - 1941)	Crossing the Creek	$3,500	leon_moran_creek-html
William Jacob Baer (American 1860 - 1941)	Seated Young Girl in A Landscape	$8,500	william_jacob_baer_girl_in_landscape-html
Andrew Thomas Schwartz (1867 - 1942)	Pink Flowers	$3,250	andrew_thomas_schwartz_flowers-html
Charles Courtney Curran (American 1861 - 1942)	Cloud Surf	$19,000	charles_courtney_curran_art_cloud-html
Horace Robbin Burdick (American 1844 - 1942)	Calvin Coolidge		horace_robbin_burdick_coolidge-html
Peter Johan Valdemar Busch (1861 - 1942)	Path through the Beech Trees	$3,900	peter_johan_valdemar_busch_path-html
Fletcher Charles Ransom (American, 1870 - 1943)	The Prize in Sight	$6,900	fletcher_charles_ransom_prize-html
George W. Picknell (American 1864 - 1943)	The Clearing	$7,500	george_picknell_clearing-html
Edgar Spier Cameron (American 1862 - 1944)	Autumnal Gloaming	$3,200	edgar_spier_cameron_autumn-html
Max Friedrich Ferdinand Rabes (German 1868 - 1944)	Young Woman Sitting on a Bench	$6,500	max_friedrich_ferdinand_rabes_woman_on_bench-html
Albert Francis King (American, 1854 - 1945)	Two Baskets of Apples		albert_francis_king_apples-html
Albert Francis King (American, 1854 - 1945)	Still life with Apples		albert_francis_king_apples_still_life-html
Albert Francis King (American, 1854 - 1945)	Landscape with Creek		albert_francis_king_art_creek-html
Albert Francis King (American, 1854 - 1945)	Portrait of Abraham Lincoln		albert_francis_king_art_lincoln-html
Albert Francis King (American, 1854 - 1945)	The Fishing Hole		albert_francis_king_fishing_hole-html
Albert Francis King (American, 1854 - 1945)	Landscape		albert_francis_king_landscape-html
Albert Francis King (American, 1854 - 1945)	Portrait of William McKinley	$8,500	albert_francis_king_mckinley-html
Albert Francis King (American, 1854 - 1945)	Still life with Oranges		albert_francis_king_oranges-html
Albert Francis King (American, 1854 - 1945)	Peaches in a Pail		albert_francis_king_peaches-html
Albert Francis King (American, 1854 - 1945)	Peaches with Pail		albert_francis_king_peaches_with_pail-html
Albert Francis King (American, 1854 - 1945)	Southwestern Pennsylvania Landscape		albert_francis_king_pennsylvania-html
Albert Francis King (American, 1854 - 1945)	Still-life with Pitcher and Apples		albert_francis_king_pitcher-html
Albert Francis King (American, 1854 - 1945)	Rowing on the River		albert_francis_king_rowing-html
Albert Francis King (American, 1854 - 1945)	Landscape (possibly Somerset, PA)		albert_francis_king_somerset-html
Allan Brooks (Canadian, 1869 - 1945)	Deer in Landscape	$2,800	allan_brooks_deer-html
Peter S. Corbin (American, b. 1945)	Geese	$1,350	peter_s_corbin_geese-html
Olive Parker Black (American, 1868 - 1948)	Fall Landscape with Creek	$10,500	olive_parker_black_creek-html
Olive Parker Black (American, 1868 - 1948)	Reflections	$7,000	olive_parker_black_reflections-html
Olive Parker Black (American, 1868 - 1948)	Stream in Fall Landscape		olive_parker_black_stream-html
Olive Parker Black (American, 1868 - 1948)	Summer Landscape	$12,000	olive_parker_black_summer-html
Chauncey Foster Ryder (1868 - 1949)	Canaan Bowl	$27,000	chauncey_foster_ryder_canaan-html
Chauncey Foster Ryder (1868 - 1949)	Rocky Coast	$2,500	chauncey_foster_ryder_coast-html
Abbey Altson (British, 1864 - 1950)	Songs of the Forest	$8,500	abbey_altson_forest-html
Harry Herman Roseland (American, 1868 - 1950)	The Fateful Card	$12,000	harry_herman_roseland_card-html
Harry Herman Roseland (American, 1868 - 1950)	Her Future from the Cards	$12,000	harry_herman_roseland_cards-html
Harry Herman Roseland (American, 1868 - 1950)	Baby’s Wonderful Future, 1909		harry_herman_roseland_future-html
Harry Herman Roseland (American, 1868 - 1950)	The Magic Water		harry_herman_roseland_magic-html
Harry Herman Roseland (American, 1868 - 1950)	The Prophecy of the Tea Leaves, 1907		harry_herman_roseland_prophecy-html
Harry Herman Roseland (American, 1868 - 1950)	Reading her Palm	$12,000	harry_herman_roseland_reading-html
Louis Icart (1888 - 1950)	Miss Liberty	$5,900	louis_icart_liberty-html
Mabel Louise Wheelock (American 1887 - 1950)	On the Esopus Creek, Hudson River		mabel_louise_wheelock_hudson-html
Charles Drew Cahoon (American, 1861 - 1951)	USS Constitution	$7,500	charles_drew_cahoon_constitution-html
Frank Weston Benson (American 1862 - 1951)	Mallards		frank_weston_benson_mallards_art-html
Reynolds Beal (American 1866/67 - 1951)	Poughkeepsie Railroad Bridge	$4,750	reynolds_beale_railroad-html
Scott Zuckerman (American born 1951)	Spring Pheasant		scott_zuckerman_pheasant-html
Scott Zuckerman (American born 1951)	Pheasant in Flight	$2,800	scott_zuckerman_pheasants-html
Bill Rice (American, b. 1952)	Cock Pheasant	$2,450	bill_rice_pheasant-html
Alfred Hutty (American 1877 - 1954)	Through the Wood, Woodstock, New York	$11,500	alfred_hutty_woodstock-html
Anthony Thieme (1888 - 1954)	Covered Bridge		anthony_thieme_bridge-html
Frank A. Barney (American, 1862 - 1954)	An Adirondack Stream	$3,200	frank_a_barney_adirondack-html
Frank A. Barney (American, 1862 - 1954)	Autumn in the Woods		frank_a_barney_autumn-html
Frank A. Barney (American, 1862 - 1954)	Impression of Fir Trees	$2,900	frank_a_barney_fir_trees-html
Frank A. Barney (American, 1862 - 1954)	Stream in Landscape	$4,000	frank_a_barney_stream-html
Charles Alfred Meurer (American 1865 - 1955)	Rooster and Friends	$2,800	charles_alfred_meurer_rooster-html
E. "Bill" Maxwell Albert (1890 - 1955)	Winter Landscape with Stream	$4,000	e_maxwell_albert_stream-html
William Leigh (American 1866 - 1955)	Rocks at Leukenia Hills		william_leigh_rocks-html
Frank Harmon Myers (American 1899 - 1956)	MARKET	$6,000	frank_harmon_myers_market-html
Frank Harmon Myers (American 1899 - 1956)	WINTER STREAM	$20,500	frank_harmon_myers_stream-html
Gustave Adolph Wiegand (German-American 1870 - 1957)	A New England House with Pond	$1,300	gustave_adolph_wiegand_house_with_pond-html
Penrhyn Stanlaws (Scottish-American 1877 - 1957)	Abraham Lincoln		penrhyn_stanlaws_lincoln-html
Robert Emmitt Owen (American, 1878 - 1957)	Steeplechase	$5,900	robert_emmett_owen_steeplechase-html
Robert Emmitt Owen (American, 1878 - 1957)	Hemlocks in Snow	$11,000	robert_emmitt_owen_hemlocks-html
William Hubacek (American 1866 - 1958)	Apples Tumbling from Overturned Basket		william_hubacek_apples-html
Ernest Fredericks (1877 - 1959)	FALL LANDSCAPE	$2,250	ernest_fredericks_fall-html
Ernest Fredericks (1877 - 1959)	Midwest Winter	$1,700	ernest_fredericks_winter-html
John Whorf (American 1903 - 1959)	The North Star at Dock	$2,750	john_whorf_dock-html
Kevin T. Kelly (American, born 1960)	Hay Bales, Liberty	$800	kevin_kelly_liberty-html
Guy Carleton Wiggins (American 1883 - 1962)	A New England House with Pond		guy_carleton_wiggins_pond-html
John Ellsworth Weis (American 1892 - 1962)	Easter	$5,900	john_ellsworth_weis_easter-html
Jane Peterson (American 1876 - 1965)	Dutch Port	$15,000	jane_peterson_port-html
Dines Carlsen (American 1901 - 1966)	CT Landscape	$12,000	dines_carlsen_landscape-html
Cecil Calvert Beall (American, 1892 - 1967)	Portrait of Lincoln		cecil_calvert_beall_lincoln-html
Francis Stillwell Dixon (1879 - 1967)	Cows in the Field		francis_stillwell_dixon_cows-html
Francis Stillwell Dixon (1879 - 1967)	Grazing Cows by Stream		francis_stillwell_dixon_cows_by_stream-html
Francis Stillwell Dixon (1879 - 1967)	Cape Neddick Lighthouse, York, Maine	$4,200	francis_stillwell_dixon_lighthouse-html
Lila Barr Hetzel (American 1873 - 1967)	Destiny and Time, 1895		lila_barr_hetzel_destiny-html
Lila Barr Hetzel (American 1873 - 1967)	Lila Under the Old Apple Tree		lila_barr_hetzel_tree-html
Aiden Lassell Ripley (American 1896 - 1969)	Three Grouse Among the Pines	$65,000	aiden_lassell_ripley_grouse-html
Blendon Reed Campbell (American 1872 - 1969)	The Hillside	$2,500	blendon_reed_campbell_hillside-html
Robert Ottokar Lindneux (American, 1871 - 1970)	The Lookout		robert_ottokar_lindneux_lookout-html
C. Curry Bohm (American 1894 - 1971)	Carriage Ride in the Country		c_curry_bohm_carriage-html
Aldro T. Hibbard (American 1886 - 1972)	Winter Landscape	$10,500	aldro_t_hibbard_winter-html
Earl Lincoln Poole (American 1891 - 1972)	Titmouse	$3,900	earl_lincoln_poole_titmouse-html
Otto August Kuhler (American, 1894 - 1974)	Coal Burners		otto_august_kuhler_coal-html
Otto August Kuhler (American, 1894 - 1974)	Thunder on Horseshoe Curve		otto_august_kuhler_thunder-html
Otto August Kuhler (American, 1894 - 1974)	Greetings -- Iron Horse and Rider on Horseback	$1,200	otto_kuhler_rider-html
Otto August Kuhler (American, 1894 - 1974)	Steam Engine Sketch	$1,200	otto_kuhler_steam-html
Boris Riab (1898 - 1975)	Ducks in Flight	$3,500	boris_riab_ducks-html
Boris Riab (1898 - 1975)	Pheasants in Flight	$3,500	boris_riab_pheasants-html
J. Clinton Shepherd (American, 1888 - 1975)	Nude at Lake		j_clinton_shepherd_lake-html
Richard Evett Bishop (American 1887 - 1975)	Pair of Grouse	$1,650	richard_bishop_grouse-html
Frank H. Zuanich (American, 1890 - 1978)	Grand Canyon		frank_h_zuanich_canyon-html
John Cuthbert Hare (American 1908 - 1978)	Cape Cod Light	$1,800	john_cuthbert_hare_cape-html
Paul Bransom (American, 1885 - 1979)	Call of the Wild		paul_bransom_wild-html
Erik Koeppel (b. 1980)	Evening on the Saco River	$3,900	erik_koeppel_river-html
Otis Pierce Cook, Jr. (American 1900 - 1980)	Rockport, Massachusetts	$4,200	otis_pierce_cook_jr_rockport-html
W.J. Schaldach (American 1896 - 1982)	Rising Trout	$600	wj_schaldach_trout-html
Ogden Minton Pleissner (American 1905 - 1983)	Coast of Maine Acadia Park	$18,000	ogden_minton_pleissner_coast-html
Peter Hurd (American 1904 - 1984)	Blue Mountain	$22,000	peter_hurd_mountain-html
Malcolm Parcell (American 1896 - 1987)	Road In Mist	$5,200	malcolm_parcell_road-html
Paul Strisik (American 1918 - 1998)	A Maine Cove	$1,100	paul_strisik_maine_cove-html
Robert Pease (1925 - 2004)	Norther Nomad	$1,500	robert_pease_nomad-html
Robert Pease (1925 - 2004)	Wilderness Lord	$2,000	robert_pease_wilderness-html
Franklin Edward Morris (American 1938 - 2009)	Sunny Day Ogunquit, Maine	$4,800	franklin_morris_beach-html
Wayne Beam Morrell (American 1923 - 2013)	Fishing Boats	$4,250	wayne_beam_morrell_boats-html
David Hagerbaumer (American 1921 - 2014)	Woodcock	$2,800	david_hagerbaumer_woodcock-html
Louis Frisino (American 1934 - 2020)	Cocker Spaniel with Pheasant	$1,350	louis_frisino_cocker_spaniel-html
Benjamin F. Hawley (American, early 20th century)	fall landscape		benjamin_f_hawley_fall-html
Durett Stokes (American, early 20th Century)	Lincoln		durett_stokes_lincoln-html
Edwin M.R. Weiner (American, 19th Century)	Still Life with Fruit	$2,000	edwin_m_r_weiner_fruit-html
Elias Abberley (19th - 20th Century)	Delightful Find	$5,500	elias_abberley_delightful-html
Eugenia Williams Snow (American early 20th Century)	Still-life with Oranges 		eugenia_williams_snow_oranges-html
Eugenia Williams Snow (American early 20th Century)	Still-life with Strawberries		eugenia_williams_snow_strawberries-html
James S. Hill (American mid-19th century)	Hunter with Dogs		james_hill_hunter-html
Joan Mudge (American 20th/21st century)	Towards Laurel Ridge from SAMA Ligonier, PA	$500	joan_mudge_ridge-html
Joan Mudge (American 20th/21st century)	Bleak Winter		joan_mudge_winter-html
Lisa Geiger (American 20th and 21st century)	Appalachian Foothills	$800	lisa_geiger_appalachian-html
Lisa Geiger (American 20th and 21st century)	Daisies		lisa_geiger_daisies-html
Lisa Geiger (American 20th and 21st century)	Yellow Roadside Flowers with Three Daisies		lisa_geiger_flowers-html
Lisa Geiger (American 20th and 21st century)	Pennsylvania Hills	$1,500	lisa_geiger_pa_hills-html
Lisa Geiger (American 20th and 21st century)	Pennsylvania Landscape	$1,500	lisa_geiger_pa_landscape-html
Mabel Rollins Harris (American, early 20th Century)	Mother and Baby		mabel_rollins_harris_mother-html
Marlene Wiedenbaum (American 20/21st century)	Drowned Lands Swamp, Columbiana Co., NY	$2,800	marlene_wiedenbaum_columbiana-html
Marlene Wiedenbaum (American 20/21st century)	Hudson River Sunrise IV with Ducks	$1,400	marlene_wiedenbaum_hudson-html
Marlene Wiedenbaum (American 20/21st century)	Millbrook Road	$2,200	marlene_wiedenbaum_millbrook-html
Marlene Wiedenbaum (American 20/21st century)	Mohawk Preserve Path	$5,500	marlene_wiedenbaum_mohawk-html
Michael Mosorjak (American 20th and 21st century)	Glade--Mirabilis	$3,000	michael_max_mosorjak_glade-html
Michael Mosorjak (American 20th and 21st century)	White Lady Meadow	$2,500	michael_max_mosorjak_lady-html
Michael Mosorjak (American 20th and 21st century)	Middle Street	$3,600	michael_mosorjak_street-html
Michael Mosorjak (American 20th and 21st century)	Back Yard Suite	$1,900	michael_mosorjak_suite-html
Octavius White (Canadian School, 19th Century)	Horse Shoe Falls, Niagara Falls		octavius_white_niagra-html
P.L. Bierce (American, 20th Century)	Pennsylvania Locomotives on Horseshoe Curve		p_l_bierce_locomotives-html
Robert M. Tudor (American 19th Century)	Fishing in the Catskills		robert_m_tudor_catskills-html
Ruth A. Clark (American, early 20th Century)	Tranquil Pasture		ruth_a_clark_pasture-html
Bruce (Robert Bruce Crane)	Autumn Landscape	$10,000	bruce_crane_autumn-html
Arthur Burdett (A.B. Frost)	Grouse Hunting	$11,000	arthur_burdett_frost_grouse-html
Edward Norton (E.N. Griffith)	Presidential Trompe L'oeil		edward_norton_griffith_presidents-html
James N. (J.N. Hess)	Boys at the Creek with Horses	$4,900	james_n_hess_boys_at_creek-html
James N. (J.N. Hess)	Resting Sheep and Shepherd		james_n_hess_sheep-html
Wayne Hyde	Autumn Phantom		wayne_hyde_autumn_phantom-html
Wayne Hyde	The Final Summation		wayne_hyde_final_summation-html
Wayne Hyde	The Fire Boss		wayne_hyde_fire-html
Wayne Hyde	Mid Day Sun I	$975	wayne_hyde_mid_day_sun_I-html
Wayne Hyde	Mid Day Sun II	$975	wayne_hyde_mid_day_sun_II-html
Wayne Hyde	Mohawk		wayne_hyde_mohawk-html
Wayne Hyde	My Rifle My Life		wayne_hyde_rifle-html
Wayne Hyde	Silent Steps	$4,500	wayne_hyde_silent_steps-html
Otto Flecker (20th Century German or Austrian Illustrator)	Girl with Parrot, Illustration, 1927		otto_flecker_parrot-html
Charles Augustus (Shorty Lasar)	The Lady Artist	$12,500	charles_augustus_lasar_artist-html
Charles Augustus (Shorty Lasar)	French Landscape	$5,200	charles_augustus_lasar_landscape-html
Charles Augustus (Shorty Lasar)	The Old Mill at Salleport England	$4,500	charles_augustus_lasar_mill-html
Charles Augustus (Shorty Lasar)	Sunset		charles_augustus_lasar_sunset-html
Ernest (Lotechius, Loteshius Lotichius)	Silent Sentinel		ernest_lotichius_sentinel-html
