Artist	Title	Price	Slug
Auguste Toulmouche (French, 1829 - 1890)	The Diary		auguste_toulmouche_diary-html
Auguste Toulmouche (French, 1829 - 1890)	Memories		auguste_toulmouche_memories-html
Frank Bromley (American 1859 - 1890)	Boats on the Horizon		frank_bromley_boats-html
Frank Bromley (American 1859 - 1890)	Fishing Spot	$3,900	frank_bromley_fishing-html
Frank Bromley (American 1859 - 1890)	Figures by a Lake		frank_bromley_lake-html
Frank Bromley (American 1859 - 1890)	Niagara Falls		frank_bromley_niagra-html
Frank Bromley (American 1859 - 1890)	Rainbow at Niagara Falls		frank_bromley_rainbow-html
Frank Bromley (American 1859 - 1890)	Seascape		frank_bromley_seascape-html
Henry Fenton Spread (Irish - American, 1844 - 1890)	Landscape with Cattle	$3,500	henry_fenton_spread_cattle-html
Frank Anderson (American 1844 - 1891)	A Catskill Creek		frank_anderson_catskill-html
Frank Anderson (American 1844 - 1891)	Corner of the Farm		frank_anderson_farm-html
James Jackson Curnock (British 1839 - 1891)	Sunny Day	$3,900	james_curnock_sunny_day-html
Alexander Helwig Wyant (American 1836 - 1892)	Farm Pond at Sunset	$3,200	alexander_helwig_wyant_pond-html
Christopher Pearse Cranch (American, 1813 - 1892)	Sunset on the River		christopher_pearse_cranch_sunset-html
Frederic Rondel, Sr (American 1826 - 1892)	Three Ladies Boating on the Hudson	$6,500	frederic_rondel_sr_boating-html
James Hope (American ca. 1818 - 1892)	Watkins Glen Rainbow Falls		james_hope_rainbow-html
James Hope (American ca. 1818 - 1892)	Rainbow Falls Watkins Glen		james_hope_rainbow_falls-html
Louis Ritter (American 1854 - 1892)	Study for East Gloucester Landscape-sold as pair w/East Gloucester Landscape	$26,500	louis_ritter_east_glouster-html
Louis Ritter (American 1854 - 1892)	East Gloucester Landscape		louis_ritter_landscape-html
Edward Holmes (British, died 1893)	Leading the Way		edward_holmes_leading-html
James Henry Beard (American 1811 - 1893)	Woodcock Hunting-sold as pair w/one Woodcock on Point	$45,000	james_henry_beard_woodcock-html
James Henry Beard (American 1811 - 1893)	Woodcock on Point		james_henry_beard_woodcock_on_point-html
William Rickarby Miller (British-American, 1818 - 1893)	The Boating Party	$4,900	william_rickarby_miller_boating-html
William Ruthven Wheeler (American 1832 - 1893)	Fearless Fisherman sold as pair w/Rocky Outcrop w Waterfall	$12,000	william_ruthven_wheeler_fisherman-html
William Ruthven Wheeler (American 1832 - 1893)	Rocky Outcrop with Waterfall		william_ruthven_wheeler_rocky_outcrop-html
Carl Sommer (1829 - 1894)	lone traveler	$7,500	charles_august_sommer_traveler-html
Henry W. Kemper (American 1833 - 1894)	Lake George		henry_kemper_lake-html
Henry W. Kemper (American 1833 - 1894)	Landscape	$5,000	henry_kemper_landscape-html
Norton Bush (American, 1834 - 1894)	Autumn Scene in the Adirondacks		norton_bush_autumn-html
William Hart (American 1823 - 1894)	Landscape with Cattle		william_hart_cattle-html
Hermann Gustave Simon (American 1846 - 1895)	Glimpse of the Delaware at Dingman’s Ferry		hermann_gustave_simon_ferry-html
Alfred S. Wall (American 1825 - 1896)	The Woods at Dusk / Cows in the Woods (Sold as a pair)		alfred_s_wall_woods-html
George Cochran Lambdin (American, 1830 - 1896)	Youth, Portrait of a Nude, 1884		george_chochran_lambdin_youth-html
George Cochran Lambdin (American, 1830 - 1896)	The Little Helper	$7,000	george_cochran_lambdin_helper-html
George Cochran Lambdin (American, 1830 - 1896)	Flowers in a Vase		george_lambdin_flowers-html
Emile Gruppé (American 1896-1978)	Late Afternoon Winter		emile_gruppe_winter-html
Charles Linford (American, 1846 - 1897)	Delaware Water Gap		charles_lindford_delaware_gap-html
Charles Linford (American, 1846 - 1897)	Path to the Creek	$5,500	charles_lindford_path_to_creek-html
Charles Linford (American, 1846 - 1897)	Landscape with Pond		charles_lindford_pond-html
Charles Linford (American, 1846 - 1897)	Birch Trees in Rocky Forest with Cows		charles_linford_birch_trees-html
Charles Linford (American, 1846 - 1897)	Tranquil Stream		charles_linford_stream-html
Charles Linford (American, 1846 - 1897)	Summer Serenity		charles_linford_summer_serenity-html
Henry Boese (American 1824 - 1897)	Hurry Before the Storm		henry_boese_storm-html
Morston Constantine Ream (American 1840 - 1898)	Still-life with Fruit and Wine		morston_constantine_ream_fruit-html
Samuel W. Griggs (American, 1827 - 1898)	New England Landscape with Cattle by Bridge	$5,500	samuel_w_griggs_cattle-html
William Mason Brown (1828 - 1898)	Landscape with Cabin	$36,000	william_mason_brown_cabin-html
William Mason Brown (1828 - 1898)	Peaches with Art Objects		william_mason_brown_peaches-html
Edmund Aylburton Willis (British-American, 1808 - 1899)	Idyllic Day	$6,000	edmund_aylburton_willis_idyllic-html
George Hetzel (American, 1826 - 1899)	Boys Camping along Paint Creek		george_hetzel_boys-html
George Hetzel (American, 1826 - 1899)	Stream With Grazing Cattle		george_hetzel_cattle-html
George Hetzel (American, 1826 - 1899)	The Covered Bridge		george_hetzel_covered_bridge-html
George Hetzel (American, 1826 - 1899)	Paint Creek, 1897		george_hetzel_creek-html
George Hetzel (American, 1826 - 1899)	Creek in Dappled Sunlight		george_hetzel_dappled_sunlight-html
George Hetzel (American, 1826 - 1899)	Ready to Fish		george_hetzel_fish-html
George Hetzel (American, 1826 - 1899)	Landscape		george_hetzel_landscape-html
George Hetzel (American, 1826 - 1899)	Lawrence County, PA		george_hetzel_lawrence_county-html
George Hetzel (American, 1826 - 1899)	Rocky Creek		george_hetzel_rocky_creek-html
George Hetzel (American, 1826 - 1899)	Rose Point	$22,000	george_hetzel_rose_point-html
George Hetzel (American, 1826 - 1899)	Mountain Stream near Scalp Level		george_hetzel_stream-html
George Hetzel (American, 1826 - 1899)	Tranquil Stream		george_hetzel_tranquil_stream-html
